"","Id","Human.Development.Index.HDI.2014","Gini.coefficient.2005.2013","Birth.registration.funder.age.5.2005.2013","Carbon.dioxide.emissionsAverage.annual.growth","Carbon.dioxide.emissions.per.capita.2011.Tones","Change.forest.percentable.1900.to.2012","Change.mobile.usage.2009.2014","Consumer.price.index.2013","Domestic.credit.provided.by.financial.sector.2013","Domestic.food.price.level.2009.2014.index","Domestic.food.price.level.2009.2014.volitility.index","Electrification.rate.or.population","Exports.and.imports.percentage.GPD.2013","Female.Suicide.Rate.100k.people","Foreign.direct.investment.net.inflows.percentage.GDP.2013","Forest.area.percentage.of.total.land.area.2012","Fossil.fuels.percentage.of.total.2012","Fresh.water.withdrawals.2005","Gender.Inequality.Index.2014","General.government.final.consumption.expenditure...Annual.growth.2005.2013","General.government.final.consumption.expenditure...Perce.of.GDP.2005.2013","Gross.domestic.product.GDP.2013","Gross.fixed.capital.formation.of.GDP.2005.2013","Homeless.people.due.to.natural.disaster.2005.2014.per.million.people","Homicide.rate.per.100k.people.2008.2012","Infant.Mortality.2013.per.thousands","International.inbound.tourists.thausands.2013","International.student.mobility.of.total.tetiary.enrolvemnt.2013","Internet.users.percentage.of.population.2014","Intimate.or.nonintimate.partner.violence.ever.experienced.2001.2011","MaleSuicide.Rate.100k.people","Mobile.phone.subscriptions.per.100.people.2014","Natural.resource.depletion","Net.migration.rate.per.1k.people.2010.2015","Physicians.per.10k.people","Population.living.on.degraded.land.Percentage.2010","Population.with.at.least.some.secondary.education.percent.2005.2013","Primary.school.dropout.rate.2008.2014","Prison.population.per.100k.people","Private.capital.flows.percentage.GDP.2013","Public.expenditure.on.education.Percentange.GDP","Public.health.expenditure.percentage.of.GDP.2013","Pupil.teacher.ratio.primary.school.pupils.per.teacher.2008.2014","Refugees.by.country.of.origin","Remittances.inflows.percentual.GDP.2013","Renewable.sources.percentage.of.total.2012","Research.and.development.expenditure..2005.2012","Stock.of.immigrants.percentage.of.population.2013","Taxes.on.income.profit.and.capital.gain.205.2013","Total.tax.revenue.of.GDP.2005.2013","Tuberculosis.rate.per.thousands.2012","Under.five.Mortality.2013.thousands"
"44","Hungary",0.828350453189915,28.94,100,-1.06227674,4.862989931,12.8525060056887,0.42,111.7853974,64.69274759,2.43,5.8,100,169.9286,7.4,-3.224301,22.6157075,71.12797344,5.37,0.20886590451666,3.234748646,19.8947513,226.7846956,19.9329772,0,1.3,5.2,10700,3.3921,76.13,30.4666666666667,32.4,118.05,0.427221362,1.5,29.6,17.11581302,98.28557,1.9277,186,-2.383312,4.712250233,8.047233,10.48051,1.208,3.241818,25.95742962,1.29664,4.749380232,15.939275271,22.868348232,0.73,6.1
"45","Bahrain",0.823921956812207,29.0033333333333,100,1.295431545,18.13127841,154.210526631737,47.27,105.6452213,78.593917827,2.24,18.5,97.7,122.1617,2.9,3.006465,0.736842105,99.89143591,12.3133333333333,0.264862602546522,10.71694033,14.41489118,56.54303686,19.2478142,0,0.5,5.2,9163,-4.67038,91,39.4666666666667,11.6,173.27,9.713958659,3.4,9.13,3.608516567,54.9,2.19257,275,-10.44743,2.679059982,4.874988,11.76839,0.285,0.862531666666667,0,2.11521666666667,54.74950288,0.669771525,1.103893772,0.34,6.1
"46","Latvia",0.818766009538997,36.03,100,0.414732113,3.786801437,6.44005888839896,13.89,106.7099567,58.567094316,2.86,7.9,100,121.5114,4.3,2.845265,54.306851078,63.68715109,15.14,0.166647312115571,-11.01495601,15.49680565,43.94125801,22.2077449,0,4.7,7.4,1536,-2.94155,75.83,26.8333333333333,30.7,124.2,0.981649935,-1,28.78,1.827870384,98.93101,9.71279,304,-0.6312044,4.934820175,5.712866,11.01496,0.232,2.462795,33.84129734,0.65851,13.79723233,8.70806381,13.821479658,2.6,8.4
"47","Croatia",0.817539869013173,33.61,97.6666666666667,0.414732113,4.801530011,4.05829261402491,-2.83,108.0833333,94.114528905,3.16,2.7,100,85.42414,4.5,1.016744,34.431736955,81.59593959,0.6,0.14888974299879,0.527955554,20.03665167,85.32247465,19.3048298,0,1.2,3.8,11000,-5.21969,68.57,26.1666666666667,19.8,104.43,1.561552346,-0.9,28.42,17.51373102,89.05356,0.56046,108,-5.698811,4.206639767,7.303316,13.67519,40.189,2.586122,10.56037134,0.75164,17.64639787,7.94347244,19.57715941,1.4,4.5
"48","Kuwait",0.816271767577342,29.0033333333333,100,-0.437188097,29.13222464,86.5714284405061,137.76,111.1876076,47.877955765,2.6,3.7,97.7,98.1076,0.8,1.048379,0.3664422,100,12.3133333333333,0.387314383182657,14.95587843,16.69808634,267.7037781,17.9769014,0,0.4,8.1,300,4.27040666666667,78.7,39.4666666666667,1,218.43,25.090621207,18.3,17.93,0.571024514,56.03273,5.92846,137,20.52471,3.760010004,2.887513,8.60512,0.99,0.0023299,0,0.094939999,60.2051255,0.588661037,0.716319146,0.94,9.5
"49","Montenegro",0.802201006809793,30.63,99,1.495079444,4.145547583,4.9539705671009e-09,-21.97,109.1027397,61.003598321,5.58,9.1,100,103.8646,6.4,10.11055,40.371747212,60.19394832,12.4866666666667,0.171092216950908,1.36384672,19.84297328,8.793527066,19.1957084,0,2.7,4.9,1324,-2.28361666666667,61,37.9333333333333,24.7,163.03,15.2035712546667,-0.8,19.79,8.009565697,89.21613,19.5014,208,-11.0277,5.42001334833333,6.48702,20.1664333333333,0.539,9.58766,28.41315707,0.40864,8.160506483,38.5699934426667,29.9122176903333,0.19,5.3
"50","Belarus",0.79836651789255,26.46,100,1.495079444,6.682510398,11.884267973554,20.47,288.6468125,39.942944904,5.29,6,100,125.1991,6.4,3.13222,42.913607018,90.3702399,12.8766666666667,0.150727080975607,-2.604228782,14.17670122,161.4384492,36.9408479,0,5.1,3.7,137,-3.97693,59.02,27.4333333333333,32.7,122.5,1.50227654,-0.2,37.56,4.707380287,89.31927,1.33186,335,-2.684163,5.121059895,6.067956,15.36216,4.424,1.692244,5.880189701,0.7006,11.6002282,3.453266576,15.140210708,6,4.9
"51","Russia",0.797870200857615,39.69,100,0.414732113,12.64732823,0.112034850070941,-3.1,121.634714,48.287102297,4.3,5.2,100,50.85843,6.2,3.369634,49.411761832,91.02143331,12.1433333333333,0.275847763020512,0.500000005,19.54526457,3381.460583,21.4729018,10.07673858,9.2,8.6,30800,1.167,70.52,24.3333333333333,35.1,155.14,11.766118586,1.5,43.09,3.066265131,90.88943,3.40296,475,1.290996,4.101749897,6.547179,19.59062,74.954,0.3219613,9.198517206,1.11802,7.734914695,1.900396289,15.055674849,13,10.1
"52","Oman",0.793019477069215,29.0033333333333,100,14.47818926,21.44112651,0,5.81,108.4330591,35.745224578,3.28,9.2,97.7,98.57472,0.6,2.041126,0.006462036,100,12.3133333333333,0.27534501612498,9.998702029,19.18973612,147.5806,22.267826,0,1.1,9.8,1551,-11.84525,70.22,39.4666666666667,1.2,157.75,25.654798687,59.2,22.23,5.781896228,53.87018,6.43695,61,-0.5516817,4.200369835,2.598879,19.90897,0.026,0.0489753,0,0.132489994,30.6138787,2.625672582,2.574359766,0.92,11.4
"53","Romania",0.792797419961585,27.33,97.6666666666667,-1.099266257,4.210560124,4.00945187025037,-7.53,113.671108,51.974916014,3.7,4.3,100,84.52543,2.9,2.166231,28.892270237,77.66806279,3.25,0.333006004173522,2.330802013,6.20503882,363.3432065,23.484012,26.50377096,1.7,10.5,8019,-1.42904,54.08,28.5,18.4,105.91,1.507516344,-0.4,23.86,13.48939393,88.9144,5.95006,155,-6.010926,3.07336998,5.33907,17.56015,2.321,1.855112,22.76655523,0.48898,0.91636851,18.388426918,18.838970327,5.6,12
"54","Uruguay",0.792762976854943,41.32,100,0.378659219,2.297642136,99.3043478347222,31.42,126.8667402,36.295921046,3.14,6.4,99.5,51.27809,5.2,5.006598,10.476516969,57.01283323,12.8766666666667,0.312820491776244,4.199734675,13.84649868,64.61771282,22.9117829,296.9159753,7.9,9.5,2683,-2.74004333333333,61.46,27.4333333333333,20,160.8,1.562903844,-1.8,37.36,5.666597365,52.46094,5.25636,281,-9.974709,4.422180176,8.752842,13.79403,0.146,0.220342,42.111563,0.43051,2.158105723,18.374148136,19.296583403,1.5,11.1
"55","Bahamas",0.789958059512219,30.7466666666667,97.6666666666667,-3.397831439,5.205237886,-1.94367855144151e-09,-29.42,105.6243584,104.86935867,1.62,5.4,100,97.73016,1.3,4.53981,51.448551449,79.8069921966667,15.14,0.297899287603954,3.656194012,16.05748219,8.497705899,26.2730404,0,29.8,10.4,1364,-7.50723,76.92,26.8333333333333,3.6,71.44,0.045190908,5.2,28.18,4.10851713066667,80.9357066666667,10.5001,444,-4.135451,4.84322675066667,7.263478,14.1453,0.21,2.38906866666667,30.14685702,0.66356,16.25522691,12.2929393453333,15.532850712,0.37,12.9
"56","Kazakhstan",0.787982452162327,28.56,100,0.414732113,15.81009754,-3.6294564838205,55.58,120.5365732,39.080285789,3.26666666666667,6.33333333333333,100,64.94554,9.3,4.199878,1.221543134,98.9442786,18.43,0.267227653823954,1.699999998,10.30288648,382.7771613,21.1844653,55.33767285,7.8,14.6,4926,-5.1398,54.89,31.3333333333333,40.6,168.62,17.245281935,0,35.83,23.53101382,99.34056,0.72375,295,-0.7884321,3.060719967,4.255974,16.48238,2.171,0.0893783,0.968619019,0.15723,21.14421591,9.179751775,15.7965865023333,7.8,16.3
"57","Barbados",0.785458412902638,44.77,97.3333333333333,3.70657025,5.556376063,-2.57177057427782e-08,-11.61,116.4568031,106.732842651,2.39,5.4,90.9,96.8129,0.6,12.20436,19.441860465,66.8977096233333,87.5,0.357040191311004,2.67508996233333,16.14731884,4.332917507,18.4199227,0,7.4,13.3,509,3.85637,76.67,30,4.1,106.78,0.838819657,1.4,18.11,18.2378864956667,88.67,6.62534,521,-9.642315,5.610380173,6.780835,13.08663,0.067,1.846512,8.337838201,0.269913333333333,11.34048144,31.64253784,25.249360613,0.69,14.4
"58","Antigua and Barbuda",0.783367264384529,41.9466666666667,99.3333333333333,-0.622743002,5.823804338,-4.85436893456875,-23.23,108.0834972,90.016689425,2.63,8.56666666666667,90.9,103.5395,4.56666666666667,11.18527,22.272727273,66.9202846533333,8.46,0.259417903459767,3.42719982733333,18.47613929,1.831490875,23.2167195,0,11.2,7.7,244,-19.02902,64,46.9,15.0333333333333,120.02,9.43257224566667,-0.1,23.7766666666667,15.1555873516667,81.7767566666667,8.67793,403,-11.62851,2.554709911,4.866675,13.84503,0.049,1.759751,11.0162706173333,1.53913666933333,31.93087737,11.954840705,18.57519236,1.4,9.3
"59","Bulgaria",0.781675314080213,34.28,100,-0.230997039,6.71438251,23.6664960017415,-1.92,108.2542145,71.078605728,3.19,5.9,100,137.3657,5.3,3.464894,37.190493736,75.03975955,28.73,0.211593763716991,2.803074934,16.50763779,114.0261092,21.3103857,0,1.9,10.1,6898,-4.58904,55.49,27.4333333333333,16.6,137.71,0.911303148,-1.4,38.12,7.819417614,94.30368,3.06135,151,-2.015277,3.820930004,7.626268,17.41818,1.878,3.059771,29.35964705,0.63924,1.164359182,14.623783189,18.957275821,2,11.6
"60","Palau",0.780181064654573,38.6666666666667,97.3333333333333,-0.273601958,10.85543046,-11.299915540551,44.63,117.166424833333,70.8609617593333,4.90666666666667,7.96666666666667,59.3,137.2439,3.46666666666667,2.307287,87.608695652,74.65682439,24.4133333333333,0.359146798997652,6.824763186,15.88481534,0.305648279,21.2267979666667,0,3.1,15.1,105,-3.13690666666667,54.9666666666667,21.1,13.5666666666667,90.6,7.04774076033333,0.5,13.81,18.5281241823333,64.6197566666667,5.19740666666667,295,1.13906933333333,6.315153281,9.887833,21.3128133333333,0.001,0.678576533333333,9.43090752533333,0.433166666666667,26.72339612,36.952340248,26.0315965966667,4.4,17.5
"61","Panama",0.779677597089816,51.9,97.6666666666667,1.894181178,2.5843538,-14.8892405095521,-5.8,116.415564,67.600924384,2.95,2.1,90.9,154.7536,1.3,11.84859,43.414043584,79.70988459,0.74,0.453917873083758,-1.712434771,9.99546846,72.62086671,26.506302,35.37573251,17.2,15.4,1658,-2.74004333333333,44.92,27.4333333333333,8.1,158.05,0.217225805,1.5,15.54,4.128047267,51.98974,8.39036,411,-11.13672,3.29343009,7.21292,25.48506,0.105,1.059602,20.15453963,0.19519,4.099638473,17.810200342,15.922047187,4.9,17.9
"62","Malaysia",0.779245823894088,46.21,97.3333333333333,5.871119803,7.847738104,-9.3564533482797,37.21,107.1166667,142.61207573,2.91,4.3,100,154.0829,1.5,3.698655,61.733069548,94.47991174,1.93,0.209,6.308375903,13.55006876,671.2875607,26.85762,103.4765827,2.3,7.2,25700,-0.21195,67.5,37.5666666666667,4.7,148.83,8.059532404,3.1,11.98,1.242853564,68.22,0.88035,132,0.6855851,5.940680027,4.027421,12.13758,0.481,0.4457442,5.479303009,1.06529,8.308967622,52.040767248,16.098837518,5.4,8.5
"63","Mauritius",0.776552444424174,35.9,97.3333333333333,5.448620232,3.127070817,-9.69072163632373,49.3,114.5552413,122.37583078,4.9,11.7,100,120.8154,2.9,2.167676,17.261083744,76.6990911766667,12.8766666666667,0.418769431789444,0.69999981,14.40304947,21.58059136,21.1939011,0,2.8,12.5,993,-11.64556,41.44,27.4333333333333,13.2,132.25,0.003379431,0,10.57,10.1946186446667,53.56978,4.19319,202,-34.06822,3.6738801,4.821519,19.79263,0.085,0.0049052,10.250697793,0.37229,3.615950781,17.947428644,18.990475083,0.97,14.3
"64","Seychelles",0.772459367466339,65.77,97.3333333333333,8.485699417,6.835706362,0,32.75,114.6243636,35.178077087,6.65,7.2,100,164.0275,3.5,12.30531,88.47826087,75.5146260133333,8.76,0.18456530003342,6.908474837,25.5840881,2.122207018,33.5986943,0,9.5,12.2,230,-198.31933,54.26,43.7666666666667,20.1666666666667,162.19,0.120837949,-3.4,15.13,3.66293702666667,82.62227,15.12106,709,-11.83634,3.627640009,4.032539,12.55556,0.026,0.8919771,18.718489579,0.30209,13.01083608,27.877762286,31.209261503,1.8,14.2
"65","Trinidad and Tobago",0.771893819240646,28.5333333333333,97,4.496099243,37.18763962,-6.53926048452387,5.54,120.812086,33.740874392,4.04,16.5,99.8,103.1528,6.2,6.95025,43.851851852,99.93253108,8.76,0.371436093484264,-0.597660224,9.50726523,39.52285223,9.7485838,0,28.3,19,434,-27.8252,65.1,41.1666666666667,20.4,147.34,29.31533432,-2.2,11.75,8.23626065666667,59.31815,10.61263,281,-27.0406581666667,6.02670335766667,5.29355,17.57943,0.336,0.5324638,0.067468916,0.04348,2.422396881,49.597348043,28.258357597,2.1,21.3
"66","Serbia",0.771149777471976,29.65,99,2.709606612,6.799114997,21.3921314137705,-1.82,128.4622384,49.525444127,3.96,8.5,100,92.69195,5.8,4.337332,32.103818889,89.08806084,2.54,0.175585707428896,2.12571896,19.55793478,92.36354531,21.1675582,15.16899702,1.2,5.8,922,-1.23418,53.5,26.2,19.9,122.13,3.911233127,-2.1,21.14,18.5369546,65.6302,0.78248,142,-9.244542,0.060529999,10.59735,15.15704,48.786,8.837068,11.05965253,0.9868,5.598619043,7.59578147,19.721392851,1.5,6.6
"67","Cuba",0.769011135126391,47.0833333333333,100,1.287815574,3.185683146,44.1063718365425,308.52,110.494156,81.3422463933333,3.38,6,100,39.09598,4.5,4.87929196666667,27.613679068,86.7186097,18.26,0.355911775219899,2.715648976,37.86710322,211.9468631,12.1560213,665.9485732,4.2,5,2829,4.12952,30,46.9,18.5,22.48,3.6305722,-2.5,67.23,16.97609076,76.53,4.20672,510,-8.10657966666667,12.83726978,8.810774,9.06109,6.509,2.727936,13.28139924,0.41934,0.143596066,17.4125174916667,20.7016633403333,0.33,6.2
"68","Lebanon",0.768897837279365,37.6766666666667,100,3.316924672,4.674540418,4.62595416127545,56.97,111.8819224,187.607305404,3.18333333333333,5.43333333333333,100,138.6929,0.6,6.829242,13.397849462,95.52014106,24.34,0.384790711923667,23.17665965,14.72341449,74.26113575,27.875186,0,2.2,7.8,1274,6.88766,74.7,27.4333333333333,1.2,88.35,0,21.3,32,1.228701222,54.15014,6.71228,118,-6.546601,2.572679996,7.174523,12.04695,4.238,17.72973,3.342120984,0.42791,17.62186044,19.012183983,15.483579865,1.5,9.1
"69","Costa Rica",0.765746904700121,48.61,100,2.881564228,1.655602109,3.37753510973324,239.34,115.3331981,56.469478377,3.24,7.6,99.5,73.88747,2.2,6.518283,51.911476694,48.26391813,2.08,0.349238580683672,3.850980339,17.93139451,65.43681041,20.9719865,0,8.5,8.4,2428,-0.05976,49.41,60,11.2,143.83,0.763435969,2.7,11.13,1.337190054,50.59686,12.27982,314,-9.706444,6.866449833,9.868729,16.42801,0.463,1.201907,51.80445878,0.47641,8.611611345,15.071303606,13.641601406,0.8,9.6
"70","Iran",0.765590711027114,38.28,99,2.888831653,7.777322503,0,22.85,213.9536482,18.013799858,4.47,13,100,53.71718,3.6,0.8267577,6.800528077,99.51631123,12.8766666666667,0.514622126737405,-4.330164801,11.17889894,1168.681422,25.7575748,9.104759852,4.1,14.4,4769,-0.98436,39.35,27.4333333333333,6.7,87.79,17.628100395,-0.8,8.9,25.10922472,65.07835,3.82423,284,0.861679333333333,3.679909945,6.688835,25.65459,76.422,0.2516494,0.686866501,0.7488,3.421062472,19.347679384,8.448795853,2.9,16.8
"71","Venezuela",0.762252400296525,44.77,81,-0.266530597,6.400457516,-12.1596893898207,0.57,214.6947406,52.468478716,4.52,12.8,100,50.40357,1,1.606266,51.810895074,88.85243796,1.71,0.475898793912481,3.342717649,12.19195867,535.5755048,20.310255,12.81110733,53.7,12.9,986,-0.50395,57,27.4333333333333,4.3,98.95,10.01873523,0.3,19.39,1.871314101,53.67144,4.87667,161,-1.247882,6.874670029,3.445115,17.5673466666667,8.419,0.0309479,11.1780688,0.42791,3.852402649,21.464142578,15.513728915,2.4,14.9
"72","Turkey",0.76112029344145,40.04,94,4.201025103,4.391547759,19.541322328765,7.57,124.6263079,84.293838955,3.79,12.9,100,57.85201,4.2,1.559719,15.035276691,89.50950558,12.1433333333333,0.358838354978917,6.189500501,15.05241995,1398.252884,20.3214746,45.45508614,2.6,16.5,37800,0.18938,51.04,19.7,11.8,94.79,0.327907592,0.9,17.11,5.494165807,49.38733,9.97535,179,-4.074148,2.862469912,5.59013,20.13204,65.9,0.1380552,10.27687166,0.85952,2.488753866,17.589139912,20.377342743,0.52,19.2
"73","Sri Lanka",0.756658910948357,36.4,97,3.051562374,0.72992084,-22.0936170253713,30.34,122.69845,48.430824241,6.88,8.3,88.7,54.4737,12.8,1.362821,29.194705789,48.65767072,24.53,0.369751851695573,5.51603088,13.11169063,193.0673788,29.2447085,5767.024715,3.4,8.2,1275,-5.10911,25.8,38.4,46.4,103.16,0.402924189,-3,6.8,21.06065205,74.02556,3.42509,132,-4.40052,1.72397995,3.244492,24.4299,123.027,9.559383,51.34233888,0.15664,1.5276337,16.180090453,11.993201573,1.1,9.6
"74","Mexico",0.756207911551713,48.07,93,1.942618956,3.908712496,-8.25055838844388,15.51,111.7569034,49.519823512,3.74,4.7,99.1,64.15951,1.7,3.338323,33.175544638,90.10370985,17.21,0.372811210264899,1.137379288,11.8729031,1992.894187,21.0499383,319.1137558,21.5,12.5,24200,-0.57867,44.39,46.7,7.1,82.54,6.391839981,-2,20.95,3.835616876,57.98388,4.24733,210,-5.983051,5.14620018,6.237916,28.01636,9.401,1.825855,9.855558511,0.42869,0.902017788,21.9163045923333,16.4619295786667,1.8,14.5
"75","Brazil",0.755291955805556,52.67,93,2.702940361,2.231257237,-10.3865256207412,58.73,119.3673758,110.108414361,2.61,4.4,99.5,27.5911,2.5,3.599945,61.632516325,54.56668309,0.86,0.45686587422578,1.974289847,21.97252114,2916.284287,18.1830472,52.77375334,25.2,12.3,5813,-0.20734,57.6,38.8,9.4,138.95,3.84130758,-0.2,18.91,7.858502737,53.59817,19.37534,274,-4.149318,5.822249889,9.66039,20.51712,1.002,0.1129779,44.2481259,1.20964,0.299297384,26.512472725,15.421630323,2.5,13.7
"76","Georgia",0.75411864105962,41.35,100,3.56373889466667,1.769150524,-1.50485785135851,93.81,106.9685008,42.906127363,6.45333333333333,7.5,100,102.3306,1,5.925159,39.389552454,72.80037418,2.88,0.381596771038713,8.28850777433333,16.6820472,31.09760348,21.9489833,136.5315422,4.3,11.7,5392,-5.75187,48.9,9.1,5.7,124.94,0.66357442,-5.8,42.36,1.913552467,54.7573433333333,0.17955,225,-4.910562,1.983309984,9.432717,9.09457,6.835,12.05254,28.29928347,0.17658,4.374512629,35.241279646,24.118284957,4.5,13.1
"77","Saint Kitts and Nevis",0.751862282032841,30.9966666666667,97.6666666666667,7.281411532,5.053538729,-4.72727412770269e-09,-4.21,109.3671115,65.908150239,2.86,6.33333333333333,90.9,87.68176,2.83333333333333,14.46589,42.307692308,83.1925108833333,51.25,0.253562370362015,0.525454464333333,19.22478643,1.122260759,28.7327596,0,33.6,7.8,107,-57.85797,65.4,27.0333333333333,27.8,139.81,1.34894343966667,-1,11.67,4.06728267866667,80.2370733333333,7.1777,714,-14.02427,4.225759983,6.27812,14.51688,0.015,6.733531,27.277683347,0.487103333333333,10.46852798,9.79660609,20.190430677,2.5,10.2
"78","Azerbaijan",0.751139173537414,33.03,94,1.495079444,3.647379147,0.667811936154461,28.48,111.584763,25.493235206,3.18333333333333,5.43333333333333,100,75.59377,1,3.56093,11.323767814,97.86252765,34.52,0.303000336507894,2.199999701,11.21798982,156.2547565,24.5706849,76.87212469,2.1,29.9,2130,-6.58375,61,15,2.4,110.91,25.969768023,0,34.32,3.836667227,95.46668,1.81357,413,-2.528612,2.435640097,5.579734,11.92302,10.914,2.356113,2.600981728,0.21084,3.440226825,13.592310312,12.955829243,4.2,34.2
"79","Grenada",0.74999317959942,38.6666666666667,97.3333333333333,5.440902645,2.408045758,-1.00058850094342e-08,15.33,105.4707113,80.030032615,3.35,7.96666666666667,90.9,75.75223,3.46666666666667,8.938494,49.970588235,74.65682439,7.05,0.359146798997652,6.824763186,16.8113622,1.193647527,20.0787156,0,13.3,10.7,116,54.10375,37.38,21.1,3.56666666666667,126.53,8.25739443566667,-8.1,6.63,25.041120066,54.2009766666667,5.82797333333333,424,-10.6466,4.270226558,6.338721,16.05523,0.33,3.547934,11.600861328,0.25696,10.73401513,16.897940913,18.669416948,0.99,11.8
"80","Jordan",0.748328541875565,33.69,99,4.109045125,3.601147064,-0.608245107587502,51.91,115.370623,111.860451963,4.5,6.1,99.5,113.7838,1.9,5.340056,1.09822032,95.9918514,92.44,0.473382155320636,-11.39571513,19.65322914,73.67461303,27.22237,0,2,16,3945,3.67022,44,23,2.2,147.8,0.920974547,11.3,25.58,22.01130952,74.11,2.10094,95,-10.03431,4.773786545,7.22403,19.93241,1.633,10.81603,1.997031829,0.4347,40.22354756,13.618107354,15.257585849,0.53,18.7
"81","Macedonia",0.747252859936566,44.2,100,2.709606612,4.437580862,11.3581882794236,17.93,110.3393379,52.378373947,5.08,7.9,100,126.6503,3.2,4.055383,39.936558287,82.14660415,16.06,0.163635458513725,-3.554404109,17.52832929,24.46193184,24.8154499,0,1.4,5.8,400,-5.2339,68.06,38.4,7.3,109.1,2.651339665,-0.5,26.24,7.106265579,45.1185233333333,2.50694,122,-1.614253,3.178513368,6.444246,15.15012,1.759,3.688485,10.43938319,0.21793,6.632203186,10.674693543,16.705964725,0.82,6.6
"82","Ukraine",0.747005221412579,24.82,100,2.01561636666667,6.262351962,5.21355686846123,21.33,108.2599837,95.671762517,5.23,3.9,100,102.2427,5.3,2.541275,16.842159774,79.63188173,13.78,0.286440560310559,2.2,19.3599559,387.0261895,18.1682843,7.076657329,4.3,8.6,24700,0.45412,43.4,18.3,30.3,144.08,4.598568346,-0.2,35.31,6.225041002,93.55,0.64571,305,-7.251269,6.661180019,7.771187,16.48785,6.343,5.448327,20.71150765,0.73662,11.38707797,11.80775024,18.231276369,13,10
"83","Algeria",0.735623767134645,38.8166666666667,99,3.762173496,3.22420156,-11.5536891559549,3.73,117.5218381,3.012285739,5.11,5.5,100,63.42136,1.5,0.8037201,0.619043221,99.88756809,24.4133333333333,0.413117859270844,80.44933374,18.90485754,505.5089905,33.7992801,11.95267392,0.7,21.6,2634,-1.06117,18.09,29.1666666666667,2.3,93.31,18.005904146,-0.3,12.07,28.83718384,28.86,7.23248,162,-1.027556,4.33701992,6.635026,23.15942,3.691,0.0997417,0.141610925,0.06604,0.689669613,60.202298921,37.361849312,15,25.2
"84","Peru",0.734203129104298,45.33,96,0.922824211,1.791964427,-3.51217287188552,20.56,110.1653876,22.005662549,3.87,3.4,91.2,48.36413,2.1,4.595051,52.884375,75.98294021,0.72,0.405915231776988,6.650711677,11.19202014,346.1753476,26.6083672,196.346675,9.6,12.9,3164,-0.527133333333333,40.2,38.9,4.4,102.92,5.732600927,-2,11.32,0.738200294,61.10963,26.11487,202,-7.079139,3.277960062,5.317889,18.08394,4.768,1.337904,24.01455763,0.545293333333333,0.345405489,33.958686423,16.544732094,5.1,16.7
"85","Albania",0.732765802641622,28.96,99,-0.280486216,1.60703771,-1.89860583882596,34.9,107.5972351,66.894098251,6.43,10.3,100,87.93716,5.2,9.701772,28.248905109,60.52689585,4.34,0.217395947424726,0.061767661,10.68921529,28.86049099,26.1504619,7.103503508,5,13.3,2857,-12.14132,60.1,43.7666666666667,6.6,105.47,3.533720948,-3.2,11.45,5.739703969,84.76527,1.33296,158,-8.312282,3.268680096,5.882328,19.12103,10.52,8.464771,26.56383378,0.15308,3.050417062,18.683431262,19.630698667,0.31,14.9
"86","Armenia",0.732982583044665,30.3,100,3.56373889466667,1.67383608,-26.890756110645,57.01,116.7987006,46.00499254,8.87,11.9,100,75.03648,0.9,3.548608,8.907622058,71.54126243,37.86,0.317574186259282,16.30000001,14.46393506,22.40412537,20.9266618,0,1.8,14,1084,-2.61963,46.3,9.5,5,115.92,2.158069193,-3.4,26.87,9.577000408,94.47,4.38289,164,-9.975223,2.250149965,4.519753,19.3076,12.224,21.01379,32.66394123,0.27014,10.64988984,21.314318148,18.653482484,6.3,15.6
"87","Bosnia and Herzegovina",0.732530325844487,33.04,100,2.709606612,6.185334807,-1.13122171162547,7.99,105.7083333,67.680782995,4.82,6.3,100,85.02369,4.1,1.764679,42.843137255,93.91646937,0.88,0.200654239214444,-0.466983341,22.76307955,35.94704519,17.8837766,0,1.3,5.7,529,-3.16499,60.8,46.9,18,91.28,11.925967492,-0.3,16.94,6.088298586,56.83266,17.22785,78,-1.143518,4.800336758,9.625997,17.09921,22.342,10.80434,7.888293396,0.02171,0.605775405,6.710965858,20.866164157,5.2,6.6
"88","Ecuador",0.731674443061735,46.57,90,3.922678498,2.34333293,-23.6033634453499,15.78,112.8105507,29.649492695,3.39,5.7,97.2,60.81707,5.3,0.7674718,38.129328394,86.28549413,2.17,0.407268763866313,7.727259997,14.09402289,165.8875797,27.8523688,98.26738181,12.4,19.1,1364,-1.3167,43,46.3,13.2,103.9,8.641467102,-0.4,16.87,1.640018639,39.77,11.0995,149,0.1956072,4.358260155,6.395048,18.70906,0.7,2.60266,12.86325172,0.22779,2.283122286,19.5678499206667,17.5577829606667,2.7,22.5
"89","Saint Lucia",0.72905644949465,51.73,92,4.202712436,2.270512241,7.30593607103711,-5.27,108.6387228,123.082364273,3.44,12.3,90.9,97.20478,3.06666666666667,6.25223,77.049180328,61.19161188,14.3,0.386058049794624,6.917001473,14.81770831,1.850350309,23.344663,0,21.6,12.7,319,-31.52455,51,31.2333333333333,7.63333333333333,102.59,0.05106806,0,4.73,13.263178186,40.40914,10.42671,317,-13.2941,4.700260162,8.5,16.66479,0.711,2.256905,26.7552244833333,0.1682,6.682284266,27.126574685,23.04105473,1.2,14.5
